,LoanID,Loanscore,Subject..Property.City,Subject..PropertyState,distancemiles,Male.Female,curbal,OrigTransdays,Origination.UPB,Repeat,Lending.Value,Interest.Rate,LTV,Credit.Score,Open.Current.Mortgage.Late,Closed.Past.Mortgage.Late,Foreclosure,Open.Current.Auto.Late,Closed.Past.Auto.Late,Open.Current.Revolving.Late,Closed.Revolving.Late,Open.Current.Education.Late,Closed.Past.Education.Late,Open.Current.Installment.Late,Closed.Past.Installment.Late,Bankrupcy,Charge.offs,Collections,Debt.High.Credit....,DOM,Yearbuilt,X..of.comarable.properties,Comparable.properties.lower.price,Comparable.properties.upper.price,X..of.comparable.sales,Comparable.sale.lower.price.range,Comparable.sale.upper.price.range,Rooms,Bedrooms,Baths,Square.feet.of.gross.living.area,Sale.Price,Price.of.Prior.Sale.Transfer,Appraisal.price,Indicated.Value.by.Cost.Approach,Indicated.Value.by.Income.Approach,Appraisal.Monthly.Rent,Market.Rent,Total...of.Comarable.Sales...prior.7.12.months.,Total...of.Comarable.Sales...prior.4.6.months.,Total...of.Comarable.Sales...prior.current.3.months.,Absorption.Rate...prior.7.12.months.,Absorption.Rate...prior.4.6.months.,Absorption.Rate...prior.current.3.months.,Total...of.Comparable.Active.listings.prior.7.12.months.,Total...of.Comparable.Active.listings.prior.4.6.months.,Total...of.Comparable.Active.listings.prior.current.3.months.,Median.Comparable.Sale.Price..prior.7.12.months.,Median.Comparable.Sale.Price..prior.4.6.months.,Median.Comparable.Sale.Price..prior.current.3.months.,Median.Comparable.sales.Days.on.market.prior.7.12.months.,Median.Comparable.sales.Days.on.market.prior.4.6.months.,Median.Comparable.sales.Days.on.market.prior.current.3.months.,Median.Comparable.List.Price.prior.7.12.months.,Median.Comparable.List.Price.prior.4.6.months.,Median.Comparable.List.Price.prior.current.3.months.,median.Comparable.listings.Days.on.Market.prior.7.12.months.,median.Comparable.listings.Days.on.Market.prior.4.6.months.,median.Comparable.listings.Days.on.Market.prior.current.3.months.,Median.Sale.Price.a.s..of.List.Price.prior.7.12.months.,Median.Sale.Price.a.s..of.List.Price.prior.4.6.months.,Median.Sale.Price.a.s..of.List.Price.prior.current.3.months.,Months.of.Housing.Supply.prior.7.12.months.,Months.of.Housing.Supply.prior.4.6.months.,Months.of.Housing.Supply.prior.current.3.months.,Foreclosure.sales,VFS.Internal.Value,WLV,X..of.home.purchased.in.last.3.years,X..of.years.investing,X..of.Properties.currently.owned,Current.Rent,Borrower.Rent,Expected.cost.to.Rehab63,Expected.flip.price,Borrower.Age.Group,Size,Origination.Quarter,Loan.Type,Loan.Term,Loan.Purpose,Prime.Sub.Prime,Current.NonCurrent,First.Payment.Default,Occupant,Assignment.Type,Location,Built.up,Growth,Property.Values,Demand.Supply,Marketing.Time,Units,Type,Condition,Rent.Own,Full.or.Part.Time.investor,Classifier,MR.UPB,MR.LV,MR.VFS,MR.APP,MR.MCSP,LV.VFS,APP.VFS,UPB.VFS,logloanscore
37,1401016,500,Daytona Beach,FL,4.16,M,18924.77,209,21110,4,38000,0.18,0.55553,683,N,N,N,N,N,N,N,N,N,N,N,N,1.43,2.79,1.2183,94.96,57,14,39000,99000,19,20000,62000,6,3,1,991,33737.89,100,38000,40835,34924.18,797.35,786.4,12,4,3,2,1.33,1,10,8,14,28600,34750,26500,39,29,97,49100,44350,48850,88,142,56,0.91,94.49,0.89,5,6.02,14,1,34710,6252.1,0,0,0,0,0,0,0,6. 65+,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Rent,PT,Good,0.037252487,0.020694737,0.022656295,0.020694737,0.029675472,1.094785364,1.094785364,0.60818208,2.079441542
38,1401037,525,Reading,PA,0.72,M,21687.9822,880.1,22655,8,41000,0.18,0.55256,623,N,N,N,N,N,N,N,N,N,N,N,N,1.85,3.85,1.8118,123.63,62.58,27.35,42600.85,192524.99,43.37,32004.75,145890.34,6.19,3.028,1.55,1433.14,40609.49,20445.52,45111,75147.28,44999.71,1957.73,881.2,69.42,29.31,28.31,10.1064,9.7196,9.3302,46.73,34.58,42.8,69263,67554.23,68907.41,91.76,87.08,92.46,66831.48,72719.52,79864.31,152.46,121.59,87.47,0.8642,88.6611,0.827,0,0,0,0.63,38030,6712.25,0,0,0,0,0,0,0,2. 25-34,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Prime,Non Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.038896491,0.021492683,0.023171181,0.019534038,0.012788175,1.07809624,1.186195109,0.59571391,2.125251078
39,1401039,493.75,Mancelona,MI,46.36,M,38639.68,89,42740,9,80000,0.18,0.53425,447,N,N,N,N,N,N,N,N,N,N,N,N,2.76,6.27,3.0321,52,100,10,35000,70000,8,20000,60000,6,3,1,1234,57096.11,30000,42000,68433,53189.69,6307.47,926.5,3,1,4,0.5,0.33,1.33,29,24,19,41000,60000,39950,139,31,38,44900,55400,55900,186,184,89,0.89,88,0.93,58,72.73,14.29,0,54570,10704.26,0,0,0,0,0,0,0,2. 25-34,"5. $40,000-$49,999",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Non Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,att.,c4,Own,PT,Good,0.021677585,0.01158125,0.016978193,0.022059524,0.023191489,1.466006964,0.769653656,0.78321422,2.071598364
40,1401040,478.5714286,Oscoda,MI,128.31,M,27947.53,110,29865,9,55000,0.18,0.543,447,N,N,N,N,N,N,N,N,N,N,N,N,3.3,5.526666667,3.5116,178.65,43,36,45000,64000,24,50000,65000,6,3,10,1152,52126.92,18252,56000,62400,42110.64,8165.04,856.9,8,8,8,1.33,2.67,2.67,12,12,12,62000,57500,55000,170,225,225,64500,60500,55000,175,215,215,0.01,1.15,0.01,9.02,4.49,4.49,0,47260,15754.39,0,0,0,0,0,0,0,2. 25-34,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Current,OK,vacant,Refinance Transaction,rural,25-75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,FT,Bad,0.028692449,0.01558,0.018131612,0.015301786,0.01558,1.163774862,1.184934405,0.63192975,2.052288718
41,1401058,550,Indianapolis,IN,7.1,M,18068.1246,228,17073,2,24000,0.18,0.73591,635,N,N,N,N,N,N,N,N,N,N,N,N,1.67,5.36,1.712,77,68,15,20000,115000,51,5000,85000,6,3,1,1456,23200,0,24000,40815,34932.64,3663.22,760,28,15,8,4.67,5,2.67,39.36,33.96,15,29563,30900,31000,44,21,49,52529.76,48122.52,64900,195.71,184.99,108,0.93,100,0.94,566.6302,18.2265,5.62,1,19000,3001.66,0,0,0,0,0,0,0,2. 25-34,"2. $10,001-19,999",2014 Q2,Third Party Lending,5 Yr,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,increasing,in balance,3-6 mths,1,det.,c6,Rent,PT,Good,0.044514731,0.031666667,0.04,0.031666667,0.024516129,1.263157895,1.263157895,0.898578947,2.117182796
42,1401080,423.0769231,Florissant,MO,17.78,M,36793.48,317,38160,1,72000,0.18,0.53,486,Y,Y,N,N,N,Y,Y,N,N,N,N,N,4,3,0.93,14,44,6,89900,129900,26,60000,98000,7,4,2,1746,63884.96,70000,72000,122500,75000,1000,1096,17,6,3,2.83,2,1,16,7,6,74900,82900,92500,48,20,46,77450,83900,97400,48,46,71,1,101.16,0.97,5.65,3.5,6,1,65000,15986,5.87,8.99,8.92,-3.60E-15,265.45,3590,62730,5. 55-64,"4. $30,000-$39,000",2014 Q2,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,shortage,Under 3 mths,1,det.,c4,Own,PT,Bad,0.028721174,0.015222222,0.016861538,0.015222222,0.011848649,1.107692308,1.107692308,0.587076923,1.97834968
43,1401085,538.4615385,Hammond,IN,30.41,M,19162.01,628.28,21625,2,38000,0.18,0.72083,643,N,N,N,N,N,N,N,N,N,N,N,N,1.5,2.74,1.0598,171.02,66,10,17000,49000,14,15000,45000,6,3,1.1,1140,31847.03,16924.79,38000,47445.49,26310.33,2132.46,847.1,8,3,3,1.33,1,1,6,2,2,25000,25000,25000,110,130,140,25000,38000,38000,75,20,50,0.05,5,0.03,4.51,2,2,0,35310,8455.07,0,0,0,0,0,0,0,3. 35-44,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Purchase,Prime,Non Current,OK,vacant,Other,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.039172254,0.022292105,0.023990371,0.022292105,0.033884,1.076182385,1.076182385,0.612432739,2.104134154
44,1401087,583.3333333,Saint Louis,MO,24.23,F,109851.2507,428.11,99905,2,237000,0.18,0.42154,706,N,N,N,N,N,N,N,N,N,N,N,N,1.8,3.97,1.59795,98.34,8,12,175000,350000,24,177000,348500,7,3,2.1,2514,194598.66,126107.28,237000,279900,245801.53,3049.08,1646.6,10,6,8,1.67,2,2.67,18,11,12,264000,259500,292650,54,69,65,266950,298500,350000,83,88,85,0.97,101.8,0.94,10.78,5.5,4.49,1,210490,76670.3,3.89,9.76,3.05,-3.48E-15,792.6,6310,90545.4,6. 65+,"6. >$60,000",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Prime,Non Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,Under 3 mths,1,det.,c4,Own,PT,Good,0.016481658,0.006947679,0.007822699,0.006947679,0.005626516,1.125944225,1.125944225,0.474630624,2.159488095
45,1401098,541.6666667,Daytona Beach,FL,5.09,F,22699.3825,364,25642,1,43000,0.18,0.71228,616,N,N,N,N,N,N,N,N,N,N,N,N,2.05,5.086666667,1.3201,307,59,38,29000,72000,36,25000,62000,6,3,1,1455,36000,100,43000,54431,33217.03,1126.71,834.4,20,3,8,3.33,1,2.67,29.29,29.01,22,39500,25000,47250,72,27,91,51587.85,53022.94,73950,168.66,168.05,186,0.01,0.86,0.01,12.4777,19.5493,8.24,0,37450,8972.89,3.29,8.62,5.29,-3.35E-15,342.58,875,6715,5. 55-64,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,suburban,Over 75%,slow,stable,in balance,Over 6 mths,1,det.,c5,Own,PT,Good,0.032540363,0.019404651,0.022280374,0.019404651,0.017659259,1.148197597,1.148197597,0.684699599,2.117760406
46,1401113,750,Columbus,OH,3.36,M,27502.5426,249,19926,2,35000,0.18,0.56931,498,N,N,N,N,N,N,N,N,N,N,N,N,2.14,6.4,2.0864,9,38,4,92400,128000,4,82000,129000,8,4,2.1,2000,45834.16,35000,35000,91050,58988.42,6457.28,1053.5,2,2,0,0.33,0.67,0,2,3,4,124000,105500,56692.03,31,44,56.06,94900,112500,119200,29,24,69,0.96,88.74,0.4579,6.06,4.48,0,1,44540,7360.07,0,0,0,0,0,0,0,5. 55-64,"2. $10,001-19,999",2014 Q1,Third Party Lending,3 Yr,Refi-Cashout,Sub Prime,Non Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c6,Rent,PT,Good,0.052870621,0.0301,0.023652896,0.0301,0.018582859,0.785810507,0.785810507,0.447373148,2.189785867
47,1401116,500,Jackson,MI,10.05,M,22358.56,722,24715,3,45000,0.18,0.54922,677,N,N,N,N,N,N,N,N,N,N,N,N,1.34,3.13,1.0481,177,115,7,41700,59900,6,40000,55000,5,2,1,700,38829.08,18000,45000,55530,35421.44,733.4,947,2,1,3,0.33,0.33,1,4,7,7,42950,40000,46400,58,231,88,47200,49000,49900,175,150,90,1,90,0.95,12.12,21.21,7,1,41280,12271.28,0,0,0,0,0,0,0,5. 55-64,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.038316812,0.021044444,0.022940891,0.021044444,0.020409483,1.090116279,1.090116279,0.598716085,2.079441542
48,1401123,750,Statesville,NC,0.2,M,36519.1498,539,39135,4,73000,0.18,0.5361,568,N,N,N,N,N,N,N,N,N,N,N,N,1.91,4.22,1.3295,68.61,75,2,75000,79900,19,20500,115000,5,2,1.1,1222,58436.61,35161,73000,73005,67537.17,1164.93,1011.8,12,3,4,2,1,1.33,18,14,9,71500,48551,75500,130,14,116,80950,88700,79900,130,80,91,90.85,101.36,0.85,9,14,6.77,1,56910,12864.82,2.68,9.53,5.62,-3.50E-15,402.9166667,7125,31703,2. 25-34,"4. $30,000-$39,000",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Non Current,OK,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.025854095,0.013860274,0.017778949,0.013860274,0.013401325,1.282727113,1.282727113,0.687664734,2.189785867
49,1401125,555.5555556,Reading,PA,0.08,M,22564.8048,-23883.27,23634,8,45000,0.18,0.71618,623,N,N,N,N,N,N,N,N,N,N,N,N,3.01,7.23,16.8258,175.31,115,15,40000,80000,10,20000,60000,3.7,2,1,880,33000,54222.79,45000,46500,77356,10603.67,1341.1,5,2,4,0.83,0.67,1.33,46000,49200,63900,42,179,89,68700,74900,74000,112,145,64,96,83,82,334.2942,35699.3078,300.9487,55421.69,73432.84,48045.11,0.55,40430,3911.37,0,0,0,0,0,0,0,2. 25-34,"3. $20,000-$29,999",2014 Q1,Third Party Lending,5 Yr,Purchase,Prime,Non Current,OK,tenant,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,3,S-Det./End Unit,c3,Own,PT,Good,0.056744521,0.029802222,0.033170913,0.029802222,15.06853933,1.113034875,1.113034875,0.584565916,2.136140822
50,1401173,600,Baraboo,WI,14.37,M,50274.162,451.19,53762,2,95000,0.18,0.68925,641,N,N,N,N,N,N,N,N,N,N,N,N,0.39,2.97,0.9291,75.75,62,19,52000,119900,14,79900,124900,5,3,1,864,78001,46302.03,95000,93337,93385.12,2381.4,983.6,9,8,2,1.5,2.67,0.67,13,14,14,111750,106450,88250,97,35,282,105900,96000,95900,174,182,227,0.97,100,0.95,8.67,5.24,20.9,0,75600,8993.87,0,0,0,0,0,0,0,2. 25-34,"5. $50,000-$59,000",2014 Q1,Third Party Lending,5 Yr,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.01829545,0.010353684,0.013010582,0.010353684,0.011145609,1.256613757,1.256613757,0.711137566,2.167143305
51,1401176,205,Rock Hill,SC,73.24,M,52415.56,163,50955,3,95000,0.18,0.53637,575,N,N,N,N,N,N,N,N,N,N,N,N,1.66,5.47,1.9566,77.69,43,5,79461,350000,10,36000,385000,5,3,1,1087,86745.66,1,1.00E+05,106874,108533.59,1295.76,1084,3,4,3,0.5,1.33,1,4,5,5,74000,110250,129900,4,54,68,164950,112500,112500,235,151,121,0.92,89,1,8,3.76,5,0,80570,18047.16,0,0,0,0,0,0,0,4. 45-54,"5. $50,000-$59,000",2014 Q1,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Non Current,Default,tenant,Refinance Transaction,rural,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Rent,PT,Bad,0.021273673,0.011410526,0.013454139,0.01084,0.008344881,1.17909892,1.241156758,0.632431426,1.526056303
